District,Soil Type,Crop,Ideal Season,Average Temperature (°C),Average Rainfall (mm),Yield (tons/acre)
Ariyalur,Red Soil,Sugarcane,Kharif,28,900,40
Ariyalur,Black Soil,Groundnut,Kharif,29,700,50
Ariyalur,Red Loamy,Paddy,Kharif,27,850,30
Ariyalur,Black Cotton,Vegetables,Year-round,26,800,46
Ariyalur,Red Soil,Pulses,Rabi,29,600,24
Ariyalur,Black Soil,Maize,Kharif,28,750,45
Ariyalur,Red Loamy,Millets,Kharif,27,850,45
Ariyalur,Black Cotton,Banana,Year-round,28,900,46
Ariyalur,Red Soil,Coconut,Year-round,29,800,73
Ariyalur,Black Soil,Sorghum,Kharif,28,700,23
Ariyalur,Red Loamy,Finger Millet,Kharif,27,850,23
Ariyalur,Black Cotton,Chillies,June-September,26,800,45
Ariyalur,Red Soil,Sesame,June-August,28,825,56
Ariyalur,Black Soil,Onion,Nov-February,23,700,43
Ariyalur,Red Loamy,Tomato,Year-round,25,800,34
Ariyalur,Black Cotton,Horse Gram,Oct-December,24,750,45
Ariyalur,Red Soil,Green Gram,Oct-December,24,750,65
Ariyalur,Black Soil,Watermelon,Jan-March,25,400,53
Ariyalur,Red Loamy,Black Gram,Oct-December,24,750,34
Ariyalur,Black Cotton,Tapioca,July-October,24,800,34
Chengalpattu,Red Soil,Rice,Kharif,29,900,34
Chengalpattu,Black Soil,Sugarcane,Kharif,30,800,23
Chengalpattu,Red Loamy,Vegetables,Year-round,28,850,34
Chengalpattu,Black Cotton,Groundnut,Kharif,29,700,54
Chengalpattu,Red Soil,Maize,Kharif,28,750,12
Chengalpattu,Black Soil,Pulses,Rabi,29,600,21
Chengalpattu,Red Loamy,Banana,Year-round,28,900,32
Chengalpattu,Black Cotton,Coconut,Year-round,27,800,32
Chengalpattu,Red Soil,Sorghum,Kharif,28,700,12
Chengalpattu,Black Soil,Finger Millet,Kharif,27,850,21
Chengalpattu,Red Loamy,Chillies,June-September,26,800,24
Chengalpattu,Black Cotton,Sesame,June-August,28,825,25
Chengalpattu,Red Soil,Onion,Nov-February,23,700,29
Chengalpattu,Black Soil,Tomato,Year-round,25,800,54
Chengalpattu,Red Loamy,Horse Gram,Oct-December,24,750,20
Chengalpattu,Black Cotton,Tapioca,July-October,24,800,20
Chengalpattu,Red Soil,Green Gram,Oct-December,24,750,20
Chengalpattu,Black Soil,Watermelon,Jan-March,25,400,20
Chengalpattu,Red Loamy,Black Gram,Oct-December,24,750,20
Dharmapuri,Red Loamy,Ragi,June-September,23,850,20
Dharmapuri,Black Soil,Cotton,July-October,24,800,20
Dharmapuri,Red Soil,Paddy,Sept-January,22,850,20
Dharmapuri,Black Soil,Sugarcane,March-May,28,450,20
Dharmapuri,Red Loamy,Groundnut,July-October,24,800,20
Dharmapuri,Black Soil,Maize,June-September,24,850,20
